S.NO	Name of the Research Centre	Name of the Institute
1	Civil Engineering	Aditya Institute of Technology & Management, Tekkali, Srikakulam
2	Electrical & Electronics Engineering	Aditya Institute of Technology & Management, Tekkali, Srikakulam
3	Mechanical Engineering	Aditya Institute of Technology & Management, Tekkali, Srikakulam
4	Electronics & Communication Engineering	Aditya Institute of Technology & Management, Tekkali, Srikakulam
5	Computer Science & Engineering	Aditya Institute of Technology & Management, Tekkali, Srikakulam
6	Master of Business Administration	Aditya Institute of Technology & Management, Tekkali, Srikakulam
7	Mathematics	Aditya Institute of Technology & Management, Tekkali, Srikakulam
8	Physics	Aditya Institute of Technology & Management, Tekkali, Srikakulam
6	Master of Business Administration	Aditya Institute of Technology & Management, Tekkali, Srikakulam
7	Mathematics	Aditya Institute of Technology & Management, Tekkali, Srikakulam
8	Physics	Aditya Institute of Technology & Management, Tekkali, Srikakulam
9	Chemistry	Aditya Institute of Technology & Management, Tekkali, Srikakulam
10	Civil Engineering	Maharaj Vijayaram Gajapathi Raj College of Engineering, Vizianagaram
11	Electrical & Electronics Engineering	Maharaj Vijayaram Gajapathi Raj College of Engineering, Vizianagaram
12	Mechanical Engineering	Maharaj Vijayaram Gajapathi Raj College of Engineering, Vizianagaram
13	Electronics & Communication Engineering	Maharaj Vijayaram Gajapathi Raj College of Engineering, Vizianagaram
14	Computer Science & Engineering	Maharaj Vijayaram Gajapathi Raj College of Engineering, Vizianagaram
15	Chemical Engineering	Maharaj Vijayaram Gajapathi Raj College of Engineering, Vizianagaram
16	Mathematics	Maharaj Vijayaram Gajapathi Raj College of Engineering, Vizianagaram
17	Civil Engineering	GMR Institute of Technology, Rajam
18	Mechanical Engineering	GMR Institute of Technology, Rajam
19	Electronics & Communication Engineering	GMR Institute of Technology, Rajam
20	Computer Science & Engineering	GMR Institute of Technology, Rajam
21	Mathematics	GMR Institute of Technology, Rajam
22	Physics	GMR Institute of Technology, Rajam
23	Chemistry	GMR Institute of Technology, Rajam
24	Electrical & Electronics Engineering	Lendi Institute of Engineering and Technology, Vizianagaram
25	Mechanical Engineering	Lendi Institute of Engineering and Technology, Vizianagaram
26	Electronics & Communication Engineering	Lendi Institute of Engineering and Technology, Vizianagaram
27	Computer Science & Engineering	Lendi Institute of Engineering and Technology, Vizianagaram
28	Mathematics	Lendi Institute of Engineering and Technology, Vizianagaram
29	Mathematics	Satya Institute of Technology & Management, Vizianagaram
30	Mechanical Engineering	Avanthi Institute of engineering and technology, Thagarapuvalasa
